@relation 'your_dataset_name-weka.filters.unsupervised.attribute.Remove-R1,4,18-20,22,28-32,35,37-38'

@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute has_urgency_banner numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric

@data
1.297463,1.386294,8.517393,0,1.490654,7.036148,6.037871,5.236442,5.308268,4.89784,5.288267,0,0,0,0,50,1,0,22,50,0,223392,4.306363,0
2.302585,2.197225,9.21044,0,1.568616,7.116394,6.320768,5.484797,5.356586,4.477337,4.934474,0,0,0,0,50,3,0,45,50,0,10600,3.867547,0
2.484907,2.397895,6.908755,0,1.640937,5.616771,5.09375,3.871201,3.555348,2.397895,3.091042,1,0,1,0,50,3,0,31,50,0,13946,4.000143,0
2.197225,2.890372,4.615121,1,1.321756,2.197225,1.098612,0,1.386294,0,1.386294,0,0,0,0,50,3,0,40,50,0,47981,4.025364,0
2.70805,2.564949,8.517393,1,1.621366,6.467699,5.902633,4.70048,4.304065,3.526361,4.158883,0,0,0,0,2,3,0,43,50,0,80093,4.006692,0
1.916923,2.197225,4.615121,1,1.574846,1.94591,1.386294,0.693147,0.693147,0,0.693147,0,0,0,0,1,1,0,43,50,0,16741,3.920853,0
2.639057,2.639057,6.908755,0,1.640937,4.934474,4.418841,3.332205,2.397895,2.079442,2.564949,1,0,1,0,50,3,0,41,50,1,12913,3.981337,1
2.302585,4.406719,10.819798,0,1.660131,8.586719,8.043021,7.06732,6.47851,5.32301,5.407172,1,0,1,0,50,3,0,40,50,0,59198,4.105054,0
2.079442,4.234107,2.397895,0,0.916291,1.098612,0,0,0,0.693147,0.693147,0,0,0,0,50,2,0,43,50,0,397,3.858942,0
2.564949,2.70805,4.615121,1,1.56653,3.218876,2.484907,1.94591,1.098612,0.693147,1.609438,0,0,0,0,50,3,0,22,50,0,196,4.020408,0
1.545433,3.713572,4.615121,0,1.510722,4.094345,3.135494,2.484907,2.564949,1.609438,2.397895,0,0,0,0,2,1,0,24,50,1,10917,4.364844,0
1.791759,1.791759,9.21044,1,1.572774,8.073715,7.291656,6.410175,6.326149,5.488938,5.817111,1,1,0,0,50,1,0,63,50,1,27055,4.151395,0
1.922788,4.043051,4.615121,0,1.453953,3.610918,2.484907,1.609438,2.484907,1.609438,1.94591,0,0,0,0,50,1,0,43,50,0,40943,4.017488,0
2.833213,2.70805,2.397895,0,1.386294,1.386294,0,1.098612,0,0,0.693147,0,0,0,0,2,4,0,34,50,0,31,3.548387,0
2.639057,3.931826,6.908755,0,1.61542,6.75227,6.113682,5.111988,4.795791,3.951244,4.234107,0,0,0,0,50,3,0,32,50,0,9136,4.085705,1
2.302585,2.197225,9.21044,0,1.430311,7.486613,6.284134,5.669881,5.843544,5.247024,6.056784,0,0,0,0,50,3,0,24,50,1,10474,3.908535,0
2.079442,1.94591,4.615121,0,1.568616,4.127134,3.367296,2.484907,2.564949,1.098612,2.197225,0,0,0,0,50,2,0,45,50,1,139607,4.216386,0
2.484907,3.044522,4.615121,0,1.4884,2.70805,1.791759,1.386294,1.098612,0.693147,1.386294,0,0,0,0,50,2,0,34,50,1,3120,4.174679,0
1.922788,2.484907,6.908755,0,1.646734,5.7301,5.147494,4.276666,3.583519,2.564949,2.944439,0,0,0,0,1,1,0,40,50,0,10377,4.172786,0
0.693147,2.484907,6.908755,1,1.568616,1.791759,1.386294,0,0.693147,0,0.693147,0,0,0,0,37,1,0,41,50,0,8197,3.858119,0
2.484907,4.110874,6.908755,1,1.477049,3.637586,2.772589,1.386294,2.302585,0.693147,2.302585,0,0,0,0,49,2,0,25,50,1,703,3.960171,0
2.302585,2.197225,8.517393,1,1.61542,6.791221,6.142037,5.187386,4.844187,3.970292,4.248495,0,0,0,0,50,3,0,33,50,0,16013,4.108849,0
